Font: JF Dot M+ 12  Style: Bold
Point Size: 1   Padding: 9   SP/PD Ratio: 900.0%

Characters included: 2450/7150
Missing characters: 29
Excluded characters: 4671

Characters missing from font file:
----------------------------------------
ID: 23035	Hex: 59FB	Char [姻]
ID: 24341	Hex: 5F15	Char [引]
ID: 39154	Hex: 98F2	Char [飲]
ID: 28139	Hex: 6DEB	Char [淫]
ID: 32996	Hex: 80E4	Char [胤]
ID: 34093	Hex: 852D	Char [蔭]
ID: 22290	Hex: 5712	Char [園]
ID: 22576	Hex: 5830	Char [堰]
ID: 22852	Hex: 5944	Char [奄]
ID: 23476	Hex: 5BB4	Char [宴]
ID: 24310	Hex: 5EF6	Char [延]
ID: 24616	Hex: 6028	Char [怨]
ID: 25513	Hex: 63A9	Char [掩]
ID: 25588	Hex: 63F4	Char [援]
ID: 27839	Hex: 6CBF	Char [沿]
ID: 28436	Hex: 6F14	Char [演]
ID: 28814	Hex: 708E	Char [炎]
ID: 28948	Hex: 7114	Char [焔]
ID: 29017	Hex: 7159	Char [煙]
ID: 29141	Hex: 71D5	Char [燕]
ID: 29503	Hex: 733F	Char [猿]
ID: 32257	Hex: 7E01	Char [縁]
ID: 33398	Hex: 8276	Char [艶]
ID: 33489	Hex: 82D1	Char [苑]
ID: 34199	Hex: 8597	Char [薗]
ID: 36960	Hex: 9060	Char [遠]
ID: 37467	Hex: 925B	Char [鉛]
ID: 40219	Hex: 9D1B	Char [鴛]
ID: 22633	Hex: 5869	Char [塩]
ID: 26044	Hex: 65BC	Char [於]
ID: 27738	Hex: 6C5A	Char [汚]
ID: 29989	Hex: 7525	Char [甥]
ID: 20985	Hex: 51F9	Char [凹]
ID: 22830	Hex: 592E	Char [央]
ID: 22885	Hex: 5965	Char [奥]
ID: 24448	Hex: 5F80	Char [往]
ID: 24540	Hex: 5FDC	Char [応]
ID: 36838	Hex: 8FE6	Char [迦]
ID: 36942	Hex: 904E	Char [過]
ID: 38686	Hex: 971E	Char [霞]
ID: 34442	Hex: 868A	Char [蚊]
ID: 20420	Hex: 4FC4	Char [俄]
ID: 23784	Hex: 5CE8	Char [峨]
ID: 25105	Hex: 6211	Char [我]
ID: 29273	Hex: 7259	Char [牙]
ID: 30011	Hex: 753B	Char [画]
ID: 33253	Hex: 81E5	Char [臥]
ID: 33469	Hex: 82BD	Char [芽]
ID: 34558	Hex: 86FE	Char [蛾]
ID: 36032	Hex: 8CC0	Char [賀]
ID: 38597	Hex: 96C5	Char [雅]
ID: 39187	Hex: 9913	Char [餓]
ID: 39381	Hex: 99D5	Char [駕]
